"","Survived","Pclass","Sex","Age","Fare","Embarked"
"697",0,3,"male",45,6.975,"S"
"698",1,3,"male",27,6.975,"S"
"699",0,3,"male",19,6.75,"Q"
"700",0,3,"female",18,6.75,"Q"
"701",0,3,"male",34,6.4958,"S"
"702",0,3,"male",18,6.4958,"S"
"703",0,3,"male",43,6.45,"S"
"704",0,3,"male",34.5,6.4375,"C"
"705",0,3,"male",61,6.2375,"S"
"706",0,1,"male",33,5,"S"
"707",0,3,"male",20,4.0125,"C"
"708",0,3,"male",36,0,"S"
"709",0,1,"male",40,0,"S"
"710",1,3,"male",25,0,"S"
"711",0,3,"male",19,0,"S"
"712",0,3,"male",49,0,"S"
"713",0,1,"male",39,0,"S"
"714",0,1,"male",38,0,"S"
